var_file1,var_file2,type,hash,samples_file1,samples_file2
v0_07,L0x555555558078,uint64,3a969fb54d28ff05,1,1
v0_07,a12,uint64,3a969fb54d28ff05,1,1
KeccakRoundConstants_16,L0x5555555560a0,uint64,7768fd8513e1aff,1,1
v_shr_3_1_i,r12_h,uint64,896b8d5b7907ff25,1,1
v_xor_2_i8_3,a32,uint64,c88656ac733aeae0,1,1
v_xor_2_i8_3,L0x5555555580c8,uint64,c88656ac733aeae0,1,1
KeccakRoundConstants_00,L0x555555556020,uint64,75dd264ca9cc6c9d,1,1
state_56,L0x555555558078,uint64,3a969fb54d28ff05,1,1
state_56,a12,uint64,3a969fb54d28ff05,1,1
v_xor_4_i10_4,L0x555555558100,uint64,9a65d64527876c95,1,1
v_xor_4_i10_4,a44,uint64,9a65d64527876c95,1,1
v_shr_2_1_i,r14_h,uint64,b3feedd989f795e2,1,1
v_xor_4_i10_2,a24,uint64,5901cceea5299320,1,1
v_xor_4_i10_2,L0x5555555580b0,uint64,5901cceea5299320,1,1
v0_10,L0x555555558090,uint64,e44bcf2dafe064f2,1,1
v0_10,a20,uint64,e44bcf2dafe064f2,1,1
v21,L0x7fffffffd958,uint64,2af6861ca252e0f5,1,1
v_xor_2_i8_4,L0x5555555580f0,uint64,bcab8762d4920e93,1,1
v_xor_2_i8_4,rdi,uint64,bcab8762d4920e93,1,1
v_xor_2_i8_4,a42,uint64,bcab8762d4920e93,1,1
KeccakRoundConstants_19,L0x5555555560b8,uint64,7c2d25b61db4e02c,1,1
state_104,a23,uint64,5ed3f8a07ee23aa9,1,1
state_104,L0x5555555580a8,uint64,5ed3f8a07ee23aa9,1,1
v_shl_2_4_i,rdi_s,uint64,91c55f84e3bacf2f,1,1
A44,A44,uint64,7c115824856de4b3,1,1
v_shr_1_3_i,rax_h,uint64,67e202531f659c55,1,1
A24,A24,uint64,3beee446f08bee62,1,1
a02,a02,uint64,d59746d520a3b596,1,1
a02,L0x555555558050,uint64,d59746d520a3b596,1,1
v_shr_2_4_i,rdi_h,uint64,5a8751c829ceb1b3,1,1
v24,L0x7fffffffd9d0,uint64,a6a6cccd31eaae4f,1,1
v0_00,L0x555555558040,uint64,1a7d01e2bef364c0,1,1
v0_00,a00,uint64,1a7d01e2bef364c0,1,1
v0_06,L0x555555558070,uint64,4f087f4061f00fc4,1,1
v0_06,a11,uint64,4f087f4061f00fc4,1,1
a22,L0x5555555580a0,uint64,22c8228c3c6fc4ff,1,1
a22,a22,uint64,22c8228c3c6fc4ff,1,1
A03,A03,uint64,22ea710b2d8039ca,1,1
A04,A04,uint64,7523c3e2f55c556d,1,1
state_88,a21,uint64,7405cb84b1e0a91e,1,1
state_88,L0x555555558098,uint64,7405cb84b1e0a91e,1,1
v1,L0x7fffffffd938,uint64,9d78598290066fd7,1,1
a20,L0x555555558090,uint64,e44bcf2dafe064f2,1,1
a20,a20,uint64,e44bcf2dafe064f2,1,1
v0_17,a32,uint64,c88656ac733aeae0,1,1
v0_17,L0x5555555580c8,uint64,c88656ac733aeae0,1,1
A40,A40,uint64,d34aad0e29d08d10,1,1
v0_21,a41,uint64,745824f4c6250e64,1,1
v0_21,L0x5555555580e8,uint64,745824f4c6250e64,1,1
KeccakRoundConstants_02,L0x555555556030,uint64,4fb92b67772f9b4f,1,1
state_120,a30,uint64,76a3a00faf23a1d7,1,1
state_120,L0x5555555580b8,uint64,76a3a00faf23a1d7,1,1
v8,L0x7fffffffd990,uint64,dd441808806bab22,1,1
v6,L0x7fffffffd940,uint64,7e253b8ebed18a0c,1,1
state_128,a31,uint64,5e498e2e906d68e4,1,1
state_128,L0x5555555580c0,uint64,5e498e2e906d68e4,1,1
KeccakRoundConstants_11,L0x555555556078,uint64,cb035a2fa8129cef,1,1
v0_24,L0x555555558100,uint64,9a65d64527876c95,1,1
v0_24,a44,uint64,9a65d64527876c95,1,1
v_xor_i6_4,L0x5555555580e0,uint64,d8725ca5cf31349f,1,1
v_xor_i6_4,a40,uint64,d8725ca5cf31349f,1,1
state_152,L0x5555555580d8,uint64,85d2c7b9cc3e2ba0,1,1
state_152,a34,uint64,85d2c7b9cc3e2ba0,1,1
state_152,r10,uint64,85d2c7b9cc3e2ba0,1,1
a40,L0x5555555580e0,uint64,d8725ca5cf31349f,1,1
a40,a40,uint64,d8725ca5cf31349f,1,1
a43,L0x5555555580f8,uint64,36a87d7e294c967b,1,1
a43,a43,uint64,36a87d7e294c967b,1,1
a43,rcx,uint64,36a87d7e294c967b,1,1
v_shl_1_3_i,rax_s,uint64,da53e206f2ac8fb9,1,1
v_neg_2_i_3,r13,uint64,c6d4f215c78a62c3,1,1
state_80,L0x555555558090,uint64,e44bcf2dafe064f2,1,1
