var_file1,var_file2,type,hash,samples_file1,samples_file2
v0_07,L0x555555558078,uint64,214471b9c24a1015,10,10
v0_07,a12,uint64,214471b9c24a1015,10,10
KeccakRoundConstants_16,L0x5555555560a0,uint64,19f83178bb98d555,10,10
v_shr_3_1_i,r12_h,uint64,928879bd6ccbb6e3,10,10
v_xor_2_i8_3,a32,uint64,96b71584b576455,10,10
v_xor_2_i8_3,L0x5555555580c8,uint64,96b71584b576455,10,10
KeccakRoundConstants_00,L0x555555556020,uint64,e705337dd4481915,10,10
state_56,L0x555555558078,uint64,214471b9c24a1015,10,10
state_56,a12,uint64,214471b9c24a1015,10,10
v_xor_4_i10_4,L0x555555558100,uint64,1ff19adc3e03c43a,10,10
v_xor_4_i10_4,a44,uint64,1ff19adc3e03c43a,10,10
v_shr_2_1_i,r14_h,uint64,b479a0056e388b40,10,10
v_xor_4_i10_2,a24,uint64,dc405794021d7f52,10,10
v_xor_4_i10_2,L0x5555555580b0,uint64,dc405794021d7f52,10,10
v0_10,L0x555555558090,uint64,7d13f0f2c504263a,10,10
v0_10,a20,uint64,7d13f0f2c504263a,10,10
v21,L0x7fffffffd958,uint64,c8bbaa6f17d73a6f,10,10
v_xor_2_i8_4,L0x5555555580f0,uint64,852cd595a2ab57f6,10,10
v_xor_2_i8_4,rdi,uint64,852cd595a2ab57f6,10,10
v_xor_2_i8_4,a42,uint64,852cd595a2ab57f6,10,10
KeccakRoundConstants_19,L0x5555555560b8,uint64,fd1775067dde6f6d,10,10
state_104,a23,uint64,fe573ebd3aedcbe,10,10
state_104,L0x5555555580a8,uint64,fe573ebd3aedcbe,10,10
v_shl_2_4_i,rdi_s,uint64,21f37510101cbc91,10,10
A44,A44,uint64,9e6556d99a656c80,10,10
v_shr_1_3_i,rax_h,uint64,bb96818b1afb7beb,10,10
A24,A24,uint64,a528c98d95cbd28,10,10
a02,a02,uint64,8d587dac8debe408,10,10
a02,L0x555555558050,uint64,8d587dac8debe408,10,10
v_shr_2_4_i,rdi_h,uint64,a70535ced97164fa,10,10
v24,L0x7fffffffd9d0,uint64,c82db52c75253f0c,10,10
v0_00,L0x555555558040,uint64,1cddde94f405a321,10,10
v0_00,a00,uint64,1cddde94f405a321,10,10
v0_06,L0x555555558070,uint64,6a6ba91adae72365,10,10
v0_06,a11,uint64,6a6ba91adae72365,10,10
a22,L0x5555555580a0,uint64,b462383cccb8f9ed,10,10
a22,a22,uint64,b462383cccb8f9ed,10,10
A03,A03,uint64,fe5e1a0c7ed73393,10,10
A04,A04,uint64,f947704a61816dbc,10,10
state_88,a21,uint64,f355725de6a7ce84,10,10
state_88,L0x555555558098,uint64,f355725de6a7ce84,10,10
v1,L0x7fffffffd938,uint64,2190ca3130797eb1,10,10
a20,L0x555555558090,uint64,7d13f0f2c504263a,10,10
a20,a20,uint64,7d13f0f2c504263a,10,10
v0_17,a32,uint64,96b71584b576455,10,10
v0_17,L0x5555555580c8,uint64,96b71584b576455,10,10
A40,A40,uint64,c9a00e5bf07a714f,10,10
v0_21,a41,uint64,6fcd31181a5121db,10,10
v0_21,L0x5555555580e8,uint64,6fcd31181a5121db,10,10
KeccakRoundConstants_02,L0x555555556030,uint64,76601e34f39e60d5,10,10
state_120,a30,uint64,ce01c7d2ad54a37d,10,10
state_120,L0x5555555580b8,uint64,ce01c7d2ad54a37d,10,10
v8,L0x7fffffffd990,uint64,846c4d2a77840103,10,10
v6,L0x7fffffffd940,uint64,d0744918aefe92bc,10,10
state_128,a31,uint64,90af1eb4b57c68b2,10,10
state_128,L0x5555555580c0,uint64,90af1eb4b57c68b2,10,10
KeccakRoundConstants_11,L0x555555556078,uint64,18e91115b4740e55,10,10
v0_24,L0x555555558100,uint64,1ff19adc3e03c43a,10,10
v0_24,a44,uint64,1ff19adc3e03c43a,10,10
v_xor_i6_4,L0x5555555580e0,uint64,eb0c6534b275e031,10,10
v_xor_i6_4,a40,uint64,eb0c6534b275e031,10,10
state_152,L0x5555555580d8,uint64,3f2329e440cf138a,10,10
state_152,a34,uint64,3f2329e440cf138a,10,10
state_152,r10,uint64,3f2329e440cf138a,10,10
a40,L0x5555555580e0,uint64,eb0c6534b275e031,10,10
a40,a40,uint64,eb0c6534b275e031,10,10
a43,L0x5555555580f8,uint64,9231d766f977c2d4,10,10
a43,a43,uint64,9231d766f977c2d4,10,10
a43,rcx,uint64,9231d766f977c2d4,10,10
v_shl_1_3_i,rax_s,uint64,73961108a2f2e62c,10,10
v_neg_2_i_3,r13,uint64,d1cce60ef5c767c,10,10
state_80,L0x555555558090,uint64,7d13f0f2c504263a,10,10
state_80,a20,uint64,7d13f0f2c504263a,10,10
v_shl_3_1_i,r12_s,uint64,ede4b8993be1f455,10,10
v19,L0x7fffffffd9c8,uint64,a2bd29e7e665f8fd,10,10
v22,L0x7fffffffd980,uint64,5809f64103978a48,10,10
KeccakRoundConstants_15,L0x555555556098,uint64,d98c2d43614f98c1,10,10
A01,A01,uint64,4132cdefa13767de,10,10
state_72,L0x555555558088,uint64,ffc683aba740aec7,10,10
state_72,a14,uint64,ffc683aba740aec7,10,10
state_192,L0x555555558100,uint64,1ff19adc3e03c43a,10,10
state_192,a44,uint64,1ff19adc3e03c43a,10,10
a03,a03,uint64,2220f50f816cc544,10,10
a03,L0x555555558058,uint64,2220f50f816cc544,10,10
state_168,a41,uint64,6fcd31181a5121db,10,10
state_168,L0x5555555580e8,uint64,6fcd31181a5121db,10,10
v0_05,a10,uint64,3483d633caefab4a,10,10
v0_05,L0x555555558068,uint64,3483d633caefab4a,10,10
A13,A13,uint64,8c31072f24763656,10,10
v0_09,L0x555555558088,uint64,ffc683aba740aec7,10,10
v0_09,a14,uint64,ffc683aba740aec7,10,10
v_xor_1_i7_4,a41,uint64,6fcd31181a5121db,10,10
v_xor_1_i7_4,L0x5555555580e8,uint64,6fcd31181a5121db,10,10
v0_18,a33,uint64,bd26b17902c42928,10,10
v0_18,L0x5555555580d0,uint64,bd26b17902c42928,10,10
v0_18,rbp,uint64,bd26b17902c42928,10,10
v_shl_4_1_i,rdx_s,uint64,23ba7f4b3c1fa1af,10,10
v_shl_496_i,rbx_s,uint64,fcb5c1c09ac4f9fa,10,10
v0_22,L0x5555555580f0,uint64,852cd595a2ab57f6,10,10
v0_22,rdi,uint64,852cd595a2ab57f6,10,10
v0_22,a42,uint64,852cd595a2ab57f6,10,10
state_8,a01,uint64,f1e1156296445f97,10,10
state_8,L0x555555558048,uint64,f1e1156296445f97,10,10
a12,L0x555555558078,uint64,214471b9c24a1015,10,10
a12,a12,uint64,214471b9c24a1015,10,10
v0_03,a03,uint64,2220f50f816cc544,10,10
v0_03,L0x555555558058,uint64,2220f50f816cc544,10,10
v_xor_1_i7,a01,uint64,f1e1156296445f97,10,10
v_xor_1_i7,L0x555555558048,uint64,f1e1156296445f97,10,10
v0_16,a31,uint64,90af1eb4b57c68b2,10,10
v0_16,L0x5555555580c0,uint64,90af1eb4b57c68b2,10,10
v_xor_3_i9_1,a13,uint64,59095114bec7e00a,10,10
v_xor_3_i9_1,L0x555555558080,uint64,59095114bec7e00a,10,10
a30,a30,uint64,ce01c7d2ad54a37d,10,10
a30,L0x5555555580b8,uint64,ce01c7d2ad54a37d,10,10
A02,A02,uint64,213688f1a0309f6e,10,10
v18,L0x7fffffffd9a0,uint64,a88041cdaa07d9c3,10,10
v18,r8,uint64,a88041cdaa07d9c3,10,10
A34,A34,uint64,5e3854e7ce890b3,10,10
v_xor_1_i7_2,a21,uint64,f355725de6a7ce84,10,10
v_xor_1_i7_2,L0x555555558098,uint64,f355725de6a7ce84,10,10
KeccakRoundConstants_07,L0x555555556058,uint64,898d429df7611921,10,10
v_xor_3_i9_3,a33,uint64,bd26b17902c42928,10,10
v_xor_3_i9_3,L0x5555555580d0,uint64,bd26b17902c42928,10,10
v_xor_3_i9_3,rbp,uint64,bd26b17902c42928,10,10
a23,a23,uint64,fe573ebd3aedcbe,10,10
a23,L0x5555555580a8,uint64,fe573ebd3aedcbe,10,10
v_xor_2_1110_i,r14,uint64,e6440ff2cc46e901,10,10
A41,A41,uint64,4753608139ea6798,10,10
state_48,L0x555555558070,uint64,6a6ba91adae72365,10,10
state_48,a11,uint64,6a6ba91adae72365,10,10
v_xor_i6_2,L0x555555558090,uint64,7d13f0f2c504263a,10,10
v_xor_i6_2,a20,uint64,7d13f0f2c504263a,10,10
state_144,a33,uint64,bd26b17902c42928,10,10
state_144,L0x5555555580d0,uint64,bd26b17902c42928,10,10
state_144,rbp,uint64,bd26b17902c42928,10,10
v2,L0x7fffffffd960,uint64,432bd59b69ecbccf,10,10
v_xor_2_i8,a02,uint64,8d587dac8debe408,10,10
v_xor_2_i8,L0x555555558050,uint64,8d587dac8debe408,10,10
A11,A11,uint64,d2bb90ec5c3e5cad,10,10
KeccakRoundConstants_21,L0x5555555560c8,uint64,3b5fc764651721c5,10,10
A14,A14,uint64,3341ef969a539127,10,10
v0_04,a04,uint64,a0d69a22f6d0f92d,10,10
v0_04,L0x555555558060,uint64,a0d69a22f6d0f92d,10,10
v9,L0x7fffffffd9b8,uint64,4475afba1cc5ec1e,10,10
KeccakRoundConstants_04,L0x555555556040,uint64,76d8e50f40d9645,10,10
v_xor_4_1112_i,rdx,uint64,8f10073612180442,10,10
KeccakRoundConstants_06,L0x5555555560c0,uint64,b748f7e811237755,10,10
KeccakRoundConstants_06,L0x555555556050,uint64,b748f7e811237755,10,10
v_xor_4_i10_1,L0x555555558088,uint64,ffc683aba740aec7,10,10
v_xor_4_i10_1,a14,uint64,ffc683aba740aec7,10,10
state_0,L0x555555558040,uint64,1cddde94f405a321,10,10
state_0,a00,uint64,1cddde94f405a321,10,10
KeccakRoundConstants_14,L0x555555556090,uint64,a4c1c1ee1d783975,10,10
a21,a21,uint64,f355725de6a7ce84,10,10
a21,L0x555555558098,uint64,f355725de6a7ce84,10,10
v0_13,a23,uint64,fe573ebd3aedcbe,10,10
v0_13,L0x5555555580a8,uint64,fe573ebd3aedcbe,10,10
v7,L0x7fffffffd968,uint64,16cc6cfd91220a15,10,10
A12,A12,uint64,79f49616d38a1d64,10,10
v_xor_3_i9_4,L0x5555555580f8,uint64,9231d766f977c2d4,10,10
v_xor_3_i9_4,a43,uint64,9231d766f977c2d4,10,10
v_xor_3_i9_4,rcx,uint64,9231d766f977c2d4,10,10
KeccakRoundConstants_03,L0x555555556038,uint64,9697447cff937645,10,10
v_xor_4_i10_3,L0x5555555580d8,uint64,3f2329e440cf138a,10,10
v_xor_4_i10_3,a34,uint64,3f2329e440cf138a,10,10
v_xor_4_i10_3,r10,uint64,3f2329e440cf138a,10,10
a42,L0x5555555580f0,uint64,852cd595a2ab57f6,10,10
a42,rdi,uint64,852cd595a2ab57f6,10,10
a42,a42,uint64,852cd595a2ab57f6,10,10
v17,L0x7fffffffd978,uint64,c1207b00947c9544,10,10
state_160,L0x5555555580e0,uint64,eb0c6534b275e031,10,10
state_160,a40,uint64,eb0c6534b275e031,10,10
v0_08,a13,uint64,59095114bec7e00a,10,10
v0_08,L0x555555558080,uint64,59095114bec7e00a,10,10
v_xor_3_i9_2,a23,uint64,fe573ebd3aedcbe,10,10
v_xor_3_i9_2,L0x5555555580a8,uint64,fe573ebd3aedcbe,10,10
A20,A20,uint64,7bfd21d690c7fe31,10,10
v_shr_4_1_i,rdx_h,uint64,1fbfd5bbc51c3438,10,10
v11,L0x7fffffffd948,uint64,8b2f8deb81efda4f,10,10
A22,A22,uint64,d412b88004ce2cea,10,10
v0_11,a21,uint64,f355725de6a7ce84,10,10
v0_11,L0x555555558098,uint64,f355725de6a7ce84,10,10
v0_01,a01,uint64,f1e1156296445f97,10,10
v0_01,L0x555555558048,uint64,f1e1156296445f97,10,10
a44,L0x555555558100,uint64,1ff19adc3e03c43a,10,10
a44,a44,uint64,1ff19adc3e03c43a,10,10
v0_20,L0x5555555580e0,uint64,eb0c6534b275e031,10,10
v0_20,a40,uint64,eb0c6534b275e031,10,10
KeccakRoundConstants_10,L0x555555556070,uint64,4e29ae3da336a121,10,10
a14,L0x555555558088,uint64,ffc683aba740aec7,10,10
a14,a14,uint64,ffc683aba740aec7,10,10
v0_23,L0x5555555580f8,uint64,9231d766f977c2d4,10,10
v0_23,a43,uint64,9231d766f977c2d4,10,10
v0_23,rcx,uint64,9231d766f977c2d4,10,10
A31,A31,uint64,fd49263fb9a6da79,10,10
v0_15,a30,uint64,ce01c7d2ad54a37d,10,10
v0_15,L0x5555555580b8,uint64,ce01c7d2ad54a37d,10,10
KeccakRoundConstants_08,L0x555555556060,uint64,98a67998b5f11455,10,10
v_neg_3_i_3,r11,uint64,d56b9e9d3007e4f4,10,10
KeccakRoundConstants_17,L0x5555555560a8,uint64,37b123622fb1c6ed,10,10
a13,a13,uint64,59095114bec7e00a,10,10
a13,L0x555555558080,uint64,59095114bec7e00a,10,10
A42,A42,uint64,1e88ff567cf8d99d,10,10
a00,L0x555555558040,uint64,1cddde94f405a321,10,10
a00,a00,uint64,1cddde94f405a321,10,10
KeccakRoundConstants_01,L0x555555556028,uint64,76ff5dc2dfc4a855,10,10
v_xor_4_i10,a04,uint64,a0d69a22f6d0f92d,10,10
v_xor_4_i10,L0x555555558060,uint64,a0d69a22f6d0f92d,10,10
v26,rdx,uint64,8f10073612180442,10,10
state_112,a24,uint64,dc405794021d7f52,10,10
state_112,L0x5555555580b0,uint64,dc405794021d7f52,10,10
