var_file1,var_file2,type,hash,samples_file1,samples_file2
v0_07,L0x555555558078,uint64,4c46ea19876fd86b,100,100
v0_07,a12,uint64,4c46ea19876fd86b,100,100
KeccakRoundConstants_16,L0x5555555560a0,uint64,c3fdfd116e3b8205,100,100
v_shr_3_1_i,r12_h,uint64,7abb0f85f717cf84,100,100
v_xor_2_i8_3,a32,uint64,b50680817b895fba,100,100
v_xor_2_i8_3,L0x5555555580c8,uint64,b50680817b895fba,100,100
KeccakRoundConstants_00,L0x555555556020,uint64,90a4fe5daefa1f05,100,100
state_56,L0x555555558078,uint64,4c46ea19876fd86b,100,100
state_56,a12,uint64,4c46ea19876fd86b,100,100
v_xor_4_i10_4,L0x555555558100,uint64,aded405ba208d2be,100,100
v_xor_4_i10_4,a44,uint64,aded405ba208d2be,100,100
v_shr_2_1_i,r14_h,uint64,e3e6702786a91191,100,100
v_xor_4_i10_2,a24,uint64,c0e889935d3d1987,100,100
v_xor_4_i10_2,L0x5555555580b0,uint64,c0e889935d3d1987,100,100
v0_10,L0x555555558090,uint64,c0b01b000cf2cdda,100,100
v0_10,a20,uint64,c0b01b000cf2cdda,100,100
v21,L0x7fffffffd958,uint64,9539b421c743afa6,100,100
v_xor_2_i8_4,L0x5555555580f0,uint64,72a667489f15e26e,100,100
v_xor_2_i8_4,rdi,uint64,72a667489f15e26e,100,100
v_xor_2_i8_4,a42,uint64,72a667489f15e26e,100,100
KeccakRoundConstants_19,L0x5555555560b8,uint64,4e56650c09ff7a55,100,100
state_104,a23,uint64,74b35a62f8ea76a3,100,100
state_104,L0x5555555580a8,uint64,74b35a62f8ea76a3,100,100
v_shl_2_4_i,rdi_s,uint64,a41495eb4b96b069,100,100
A44,A44,uint64,841358c6600cc05a,100,100
v_shr_1_3_i,rax_h,uint64,6e8acddca5963f1a,100,100
A24,A24,uint64,2f4bf3afde6e9632,100,100
a02,a02,uint64,9ae44da3013a98fc,100,100
a02,L0x555555558050,uint64,9ae44da3013a98fc,100,100
v_shr_2_4_i,rdi_h,uint64,3cbcccaad02ccff8,100,100
v24,L0x7fffffffd9d0,uint64,803f4ee353deb8b3,100,100
v0_00,L0x555555558040,uint64,339ed4e81361abb6,100,100
v0_00,a00,uint64,339ed4e81361abb6,100,100
v0_06,L0x555555558070,uint64,5571b0a46b65159a,100,100
v0_06,a11,uint64,5571b0a46b65159a,100,100
a22,L0x5555555580a0,uint64,f61bd2605b6ac86e,100,100
a22,a22,uint64,f61bd2605b6ac86e,100,100
A03,A03,uint64,7e13e5862a0def53,100,100
A04,A04,uint64,aab42c958666bfbd,100,100
state_88,a21,uint64,9dabd82ed1575a9a,100,100
state_88,L0x555555558098,uint64,9dabd82ed1575a9a,100,100
v1,L0x7fffffffd938,uint64,553b78dab8e35818,100,100
a20,L0x555555558090,uint64,c0b01b000cf2cdda,100,100
a20,a20,uint64,c0b01b000cf2cdda,100,100
v0_17,a32,uint64,b50680817b895fba,100,100
v0_17,L0x5555555580c8,uint64,b50680817b895fba,100,100
A40,A40,uint64,5d6d25096efe69b6,100,100
v0_21,a41,uint64,7a966f278ec244be,100,100
v0_21,L0x5555555580e8,uint64,7a966f278ec244be,100,100
KeccakRoundConstants_02,L0x555555556030,uint64,68d0f6a280819405,100,100
state_120,a30,uint64,39e8be744b45c77d,100,100
state_120,L0x5555555580b8,uint64,39e8be744b45c77d,100,100
v8,L0x7fffffffd990,uint64,b0271cd04383690d,100,100
v6,L0x7fffffffd940,uint64,9d0993cc73c2f7a9,100,100
state_128,a31,uint64,b515cd7b517be242,100,100
state_128,L0x5555555580c0,uint64,b515cd7b517be242,100,100
KeccakRoundConstants_11,L0x555555556078,uint64,2599ee84d84a485,100,100
v0_24,L0x555555558100,uint64,aded405ba208d2be,100,100
v0_24,a44,uint64,aded405ba208d2be,100,100
v_xor_i6_4,L0x5555555580e0,uint64,8d1adfd9a907d5bc,100,100
v_xor_i6_4,a40,uint64,8d1adfd9a907d5bc,100,100
state_152,L0x5555555580d8,uint64,fb7367a80ae809bb,100,100
state_152,a34,uint64,fb7367a80ae809bb,100,100
state_152,r10,uint64,fb7367a80ae809bb,100,100
a40,L0x5555555580e0,uint64,8d1adfd9a907d5bc,100,100
a40,a40,uint64,8d1adfd9a907d5bc,100,100
a43,L0x5555555580f8,uint64,978a98c00e322393,100,100
