var_file1,var_file2,type,hash,samples_file1,samples_file2
rdx_h,rdx_h,uint64,474cababb5ef5438,100,100
rcx_s,rcx_s,uint64,6402e08ec844838a,100,100
L0x555555556028,L0x555555556028,uint64,b24b32a0413da205,100,100
rcx,L0x5555555580f8,uint64,b3345c025eb34561,100,100
rcx,a43,uint64,b3345c025eb34561,100,100
rcx,rcx,uint64,b3345c025eb34561,100,100
L0x7fffffffd918,L0x7fffffffd918,uint64,9f55c17a38dc375b,100,100
r14_h,r14_h,uint64,e9b1c62f99409676,100,100
L0x555555556090,L0x555555556090,uint64,a7e3ff1c4cb31245,100,100
L0x555555558098,a21,uint64,6cfa67c0e6f6f025,100,100
L0x555555558098,L0x555555558098,uint64,6cfa67c0e6f6f025,100,100
L0x5555555580c0,a31,uint64,aeac8fd78e66d08f,100,100
L0x5555555580c0,L0x5555555580c0,uint64,aeac8fd78e66d08f,100,100
r14_l,r14_l,uint64,67d19b81f58c3460,100,100
r13,r13,uint64,2936f4f619f0a5eb,100,100
L0x7fffffffd9b0,L0x7fffffffd9b0,uint64,91c4fa3b7856a6f5,100,100
L0x7fffffffd960,L0x7fffffffd960,uint64,76fc85446a54288b,100,100
L0x7fffffffd968,L0x7fffffffd968,uint64,652317b87403730d,100,100
A44,A44,uint64,26fafbcb70bd205e,100,100
L0x7fffffffd938,L0x7fffffffd938,uint64,41faa9c2329e73a3,100,100
L0x555555558050,a02,uint64,d2ad52b6b340db2a,100,100
L0x555555558050,L0x555555558050,uint64,d2ad52b6b340db2a,100,100
A24,A24,uint64,aa58ceab2164255b,100,100
L0x555555558060,a04,uint64,6f7b32580cb10d5,100,100
L0x555555558060,L0x555555558060,uint64,6f7b32580cb10d5,100,100
L0x7fffffffd950,L0x7fffffffd950,uint64,e6d9ce33839222d8,100,100
L0x555555556060,L0x555555556060,uint64,d24c1515257d1f05,100,100
a02,a02,uint64,d2ad52b6b340db2a,100,100
a02,L0x555555558050,uint64,d2ad52b6b340db2a,100,100
a22,L0x5555555580a0,uint64,c5051d07d3938840,100,100
a22,a22,uint64,c5051d07d3938840,100,100
A03,A03,uint64,5274631456d1f12f,100,100
r9,r9,uint64,411165a7f248e5b7,100,100
A04,A04,uint64,75e11a2f6de4d88d,100,100
a20,L0x555555558090,uint64,3f62092eb475125c,100,100
a20,a20,uint64,3f62092eb475125c,100,100
