var_file1,var_file2,type,hash,samples_file1,samples_file2
A7,r2,uint32,39bfa3d8431c04d1,10,10
A7,A7,uint32,39bfa3d8431c04d1,10,10
L0x5555552558,L0x10d38,uint32,dbbd75c3a837d86d,10,10
L0x55555640a8,a0,uint32,c7bfb907827fbe5f,10,10
L0x55555640a8,L0x2204c,uint32,c7bfb907827fbe5f,10,10
L0x55555640a8,r4,uint32,c7bfb907827fbe5f,10,10
L0x55555524d4,L0x10cb4,uint32,9111ba11f13b1d55,10,10
L0x55555524c0,L0x10ca0,uint32,af5783b67f124101,10,10
A39,A39,uint8,209131bafcc34ee8,10,10
L0x55555524dc,L0x10cbc,uint32,b29778e81406f029,10,10
a1,r5,uint32,96e0835e348ec41c,10,10
a1,L0x22050,uint32,96e0835e348ec41c,10,10
a1,a1,uint32,96e0835e348ec41c,10,10
A5,A5,uint32,5f122f76720b2d48,10,10
A44,A44,uint8,c4ec2752abf3265e,10,10
A24,A24,uint8,7e07437af052cf56,10,10
L0x5555552500,L0x10ce0,uint32,47b152f02dd46375,10,10
L0x5555552490,L0x10c70,uint32,53e77a4d878ce3bd,10,10
A55,A55,uint8,a7838d68ce837677,10,10
L0x55555524d8,L0x10cb8,uint32,3f7e5b63008bdf59,10,10
w4,r5,uint32,96e0835e348ec41c,10,10
w4,L0x22050,uint32,96e0835e348ec41c,10,10
w4,a1,uint32,96e0835e348ec41c,10,10
L0x555555248c,L0x10c6c,uint32,cc39e147858697d1,10,10
L0x5555552484,L0x10c64,uint32,cba484b03a88fcd1,10,10
A03,A03,uint8,fd68d3099296b21d,10,10
L0x5555552564,L0x10d44,uint32,d10ca47201e08d9d,10,10
L0x5555552494,L0x10c74,uint32,382e129d52f56635,10,10
A04,A04,uint8,b7556a48a8780c42,10,10
L0x55555524c4,L0x10ca4,uint32,f94dd79c0c077ccd,10,10
L0x5555552520,L0x10d00,uint32,652d980302d85115,10,10
L0x55555640b4,L0x22058,uint32,ceb6896e114127a6,10,10
L0x55555640b4,r7,uint32,ceb6896e114127a6,10,10
L0x55555640b4,a3,uint32,ceb6896e114127a6,10,10
L0x555555254c,L0x10d2c,uint32,62b648f5463dcc49,10,10
A38,A38,uint8,ed03bc86263ad8a,10,10
A58,A58,uint8,c1932d51e1fbb6f8,10,10
L0x555555253c,L0x10d1c,uint32,a134541ba9696991,10,10
A40,A40,uint8,ee12ac9672b491a1,10,10
L0x5555552530,L0x10d10,uint32,53e5ae148670badd,10,10
L0x55555524e4,L0x10cc4,uint32,1e3b34f34409e675,10,10
w8_r,r9_r,uint32,ccc096c9fce47401,10,10
a3,L0x22058,uint32,ceb6896e114127a6,10,10
a3,r7,uint32,ceb6896e114127a6,10,10
a3,a3,uint32,ceb6896e114127a6,10,10
a4,r8,uint32,12a696711a39dd24,10,10
a4,a4,uint32,12a696711a39dd24,10,10
a4,L0x2205c,uint32,12a696711a39dd24,10,10
L0x5555552498,L0x10c78,uint32,e94babb23ff11b7d,10,10
a5,L0x22060,uint32,44b8ed9a4d3a54f9,10,10
a5,a5,uint32,44b8ed9a4d3a54f9,10,10
a5,r9,uint32,44b8ed9a4d3a54f9,10,10
s00,A60,uint8,1a609d3cda36a9e7,10,10
L0x55555640b8,r8,uint32,12a696711a39dd24,10,10
L0x55555640b8,a4,uint32,12a696711a39dd24,10,10
L0x55555640b8,L0x2205c,uint32,12a696711a39dd24,10,10
ext_1,L0x407ffd08,uint32,efdd543b4cd02ce7,10,10
A63,A63,uint8,ea90d8aacb7399b7,10,10
dc,dc,uint1,911ae86ddcc0bbed,10,10
L0x555555256c,L0x10d4c,uint32,a8db449eaac3cfa9,10,10
L0x5555552560,L0x10d40,uint32,3bbac7e6b0384975,10,10
w4_r,r5_r,uint32,b9aacb0b4e290371,10,10
w5,a2,uint32,9b0b3563391468c9,10,10
w5,r6,uint32,9b0b3563391468c9,10,10
w5,L0x22054,uint32,9b0b3563391468c9,10,10
A56,A56,uint8,2170410ae6fff4b9,10,10
A05,A05,uint8,4e701ae9a03cb102,10,10
L0x5555552480,L0x10c60,uint32,d3ebd82b0ce1470d,10,10
w6,L0x22058,uint32,ceb6896e114127a6,10,10
w6,r7,uint32,ceb6896e114127a6,10,10
w6,a3,uint32,ceb6896e114127a6,10,10
A01,A01,uint8,21c7c7fbd6e665d6,10,10
A26,A26,uint8,b77b02d2d6494176,10,10
L0x55555524a8,L0x10c88,uint32,eaee631020d70f3d,10,10
L0x55555524cc,L0x10cac,uint32,1517ba8450e6a7b5,10,10
A13,A13,uint8,426b85361e78ad77,10,10
L0x5555552524,L0x10d04,uint32,b3145d10075255cd,10,10
L0x55555524ec,L0x10ccc,uint32,1618f7fe791c1b5,10,10
A17,A17,uint8,d563518bb70032e4,10,10
L0x5555552544,L0x10d24,uint32,c6bb0399263983d5,10,10
A19,A19,uint8,7434d2aa3c412275,10,10
L0x55555524ac,L0x10c8c,uint32,6b6682181ccbe0e5,10,10
A4,A4,uint32,a91ee590fba5e42e,10,10
w11,A4,uint32,a91ee590fba5e42e,10,10
A27,A27,uint8,c2eae9c89662f59c,10,10
L0x5555552488,L0x10c68,uint32,f14f1d3352973009,10,10
L0x55555524b0,L0x10c90,uint32,f922bed9e016d035,10,10
A02,A02,uint8,b97f8e1c70ce66dc,10,10
A53,A53,uint8,7efd2c17f7687215,10,10
A34,A34,uint8,90c46dceda16a1be,10,10
A50,A50,uint8,6c1867838eb8814a,10,10
ext_0,L0x407ffd04,uint32,8446979395864378,10,10
w8,L0x22060,uint32,44b8ed9a4d3a54f9,10,10
w8,a5,uint32,44b8ed9a4d3a54f9,10,10
w8,r9,uint32,44b8ed9a4d3a54f9,10,10
L0x555555255c,L0x10d3c,uint32,85df5ad704ffc5d,10,10
