group_id,type,hash,left_count,right_count,pair_count,one_to_one,score,best_file1,best_file2,left_vars,right_vars
1,uint64,afbaa916efef3d0e,1,1,1,true,155.00,v_shr_3_1_i,r12_h,v_shr_3_1_i,r12_h
4,uint64,40b4c6dc853c4af2,1,1,1,true,155.00,v_shr_2_1_i,r14_h,v_shr_2_1_i,r14_h
10,uint64,5cc5f1918ea7fbd3,1,1,1,true,155.00,v_shl_2_4_i,rdi_s,v_shl_2_4_i,rdi_s
11,uint64,8b345cd3c5f1446,1,1,1,true,155.00,v_shr_1_3_i,rax_h,v_shr_1_3_i,rax_h
13,uint64,a7b258368eaf6914,1,1,1,true,155.00,v_shr_2_4_i,rdi_h,v_shr_2_4_i,rdi_h
28,uint64,28535ff6f71e8dd3,1,1,1,true,155.00,v_shl_1_3_i,rax_s,v_shl_1_3_i,rax_s
30,uint64,2a873d2cd9001be7,1,1,1,true,155.00,v_shl_3_1_i,r12_s,v_shl_3_1_i,r12_s
37,uint64,3441ad133a503de1,1,1,1,true,155.00,v_shl_4_1_i,rdx_s,v_shl_4_1_i,rdx_s
38,uint64,3d82ffac81556bf3,1,1,1,true,155.00,v_shl_496_i,rbx_s,v_shl_496_i,rbx_s
49,uint64,5fda6ac63b2ee47,1,1,1,true,155.00,v_shr_4_1_i,rdx_h,v_shr_4_1_i,rdx_h
52,uint64,74e84e6153c58fcc,1,1,1,true,155.00,v_shl_2_1_i,r14_s,v_shl_2_1_i,r14_s
54,uint64,b6117f6daa8c03fd,1,1,1,true,155.00,v_shr_499_i,rbx_h,v_shr_499_i,rbx_h
42,uint64,67b4fc11ee24b99b,1,1,1,true,154.71,v_xor_2_1110_i,r14,v_xor_2_1110_i,r14
29,uint64,fdec06fe6058a447,1,1,1,true,152.86,v_neg_2_i_3,r13,v_neg_2_i_3,r13
51,uint64,5a7554e802fe079f,1,1,1,true,150.00,v_neg_3_i_3,r11,v_neg_3_i_3,r11
56,uint64,bbe8fc2d707c4834,1,1,1,true,150.00,v_neg_4_i_4,r9,v_neg_4_i_4,r9
45,uint64,797bbb5081c9d651,1,1,1,true,144.35,v9,L0x7fffffffd9b8,v9,L0x7fffffffd9b8
47,uint64,f33c7644bea82ed1,1,1,1,true,144.35,v7,L0x7fffffffd968,v7,L0x7fffffffd968
55,uint64,d39d6bfe2330653c,1,1,1,true,144.35,v0,L0x7fffffffd910,v0,L0x7fffffffd910
31,uint64,548da2f460c84bbe,1,1,1,true,144.22,v19,L0x7fffffffd9c8,v19,L0x7fffffffd9c8
48,uint64,32d75bd2ecdfe8d3,1,1,1,true,144.22,v17,L0x7fffffffd978,v17,L0x7fffffffd978
60,uint64,b6411f0e2859188d,1,1,1,true,144.22,v20,L0x7fffffffd930,v20,L0x7fffffffd930
7,uint64,d6ca6da50cd1f63e,1,1,1,true,142.00,v21,L0x7fffffffd958,v21,L0x7fffffffd958
14,uint64,d7b745cfc2bbed0e,1,1,1,true,142.00,v24,L0x7fffffffd9d0,v24,L0x7fffffffd9d0
19,uint64,b5ff6616d1a35eb5,1,1,1,true,142.00,v1,L0x7fffffffd938,v1,L0x7fffffffd938
22,uint64,f1a0e131944db090,1,1,1,true,142.00,v8,L0x7fffffffd990,v8,L0x7fffffffd990
23,uint64,8841d20c045d88af,1,1,1,true,142.00,v6,L0x7fffffffd940,v6,L0x7fffffffd940
32,uint64,bf178d64bd2f365a,1,1,1,true,142.00,v22,L0x7fffffffd980,v22,L0x7fffffffd980
43,uint64,e57cea0de3fc765e,1,1,1,true,142.00,v2,L0x7fffffffd960,v2,L0x7fffffffd960
50,uint64,2950a596a7fb647f,1,1,1,true,142.00,v11,L0x7fffffffd948,v11,L0x7fffffffd948
53,uint64,a2a986de4368fe92,1,1,1,true,142.00,v23,L0x7fffffffd9a8,v23,L0x7fffffffd9a8
57,uint64,39096d9b8be62c0,1,1,1,true,142.00,v14,L0x7fffffffd9c0,v14,L0x7fffffffd9c0
58,uint64,cb19b65534e77f8b,1,1,1,true,142.00,v15,L0x7fffffffd928,v15,L0x7fffffffd928
59,uint64,5f6bfb63c936e259,1,1,1,true,142.00,v3,L0x7fffffffd988,v3,L0x7fffffffd988
0,uint64,ee08f19aba45d0fb,4,2,8,false,100.00,a12,a12,a12;state_56;v0_07;v_xor_2_i8_1,L0x555555558078;a12
2,uint64,6087e9daa2eacf0c,4,2,8,false,100.00,a32,a32,a32;state_136;v0_17;v_xor_2_i8_3,L0x5555555580c8;a32
3,uint64,e899dbad1fa1a128,4,2,8,false,100.00,a44,a44,a44;state_192;v0_24;v_xor_4_i10_4,L0x555555558100;a44
5,uint64,fbf8548d4dcc9e38,4,2,8,false,100.00,a24,a24,a24;state_112;v0_14;v_xor_4_i10_2,L0x5555555580b0;a24
6,uint64,3e1b3ce72d6a8a15,4,2,8,false,100.00,a20,a20,a20;state_80;v0_10;v_xor_i6_2,L0x555555558090;a20
9,uint64,6f52013fc471bb1a,4,2,8,false,100.00,a23,a23,a23;state_104;v0_13;v_xor_3_i9_2,L0x5555555580a8;a23
12,uint64,3ee658b01f55ea46,4,2,8,false,100.00,a02,a02,a02;state_16;v0_02;v_xor_2_i8,L0x555555558050;a02
