var_file1,var_file2,type,hash,samples_file1,samples_file2,const_file1,const_file2,input_file1,input_file2,same_name,first_file1,last_file1,first_file2,last_file2
A7,r2,uint32,fb7303097d88faf7,100,100,false,false,true,false,false,01010001110101101010010010001100,11110111010100110101010011000010,01010001110101101010010010001100,11110111010100110101010011000010
A7,A7,uint32,fb7303097d88faf7,100,100,false,false,true,true,true,01010001110101101010010010001100,11110111010100110101010011000010,01010001110101101010010010001100,11110111010100110101010011000010
L0x5555552558,L0x10d38,uint32,fcedd8fcab02c3f5,100,100,true,true,false,false,false,01011011100111001100101001001111,01011011100111001100101001001111,01011011100111001100101001001111,01011011100111001100101001001111
L0x55555640a8,a0,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
L0x55555640a8,L0x2204c,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
L0x55555640a8,r4,uint32,1468cdeda65d52a5,100,100,false,false,false,false,false,00011110111101101111011010111001,00100101111101000011011101001110,00011110111101101111011010111001,00100101111101000011011101001110
L0x55555524d4,L0x10cb4,uint32,698db5ce4c39b985,100,100,true,true,false,false,false,01001010011101001000010010101010,01001010011101001000010010101010,01001010011101001000010010101010,01001010011101001000010010101010
L0x55555524c0,L0x10ca0,uint32,c7d3f15dd799b9cd,100,100,true,true,false,false,false,11100100100110110110100111000001,11100100100110110110100111000001,11100100100110110110100111000001,11100100100110110110100111000001
A39,A39,uint8,c18e3b3cf057c4c6,100,100,false,false,true,true,true,11001100,01010000,11001100,01010000
L0x55555524dc,L0x10cbc,uint32,c8ab396092cdfd,100,100,true,true,false,false,false,01110110111110011000100011011010,01110110111110011000100011011010,01110110111110011000100011011010,01110110111110011000100011011010
a1,r5,uint32,e961a6f5536f2517,100,100,false,false,false,false,false,01111101110000010110001010001000,00010101100000101101100100100001,01111101110000010110001010001000,00010101100000101101100100100001
