group_id,type,hash,left_count,right_count,pair_count,one_to_one,score,best_file1,best_file2,left_vars,right_vars
17,uint32,6bd3e11525b2ade7,1,1,1,true,162.00,w10_r,r11_r,w10_r,r11_r
3,uint32,6132c39ea45a3b8,1,1,1,true,160.00,w8_r,r9_r,w8_r,r9_r
7,uint32,a86fb6b52af00043,1,1,1,true,160.00,w4_r,r5_r,w4_r,r5_r
10,uint32,d620474569f9dd56,1,1,1,true,160.00,w6_r,r7_r,w6_r,r7_r
14,uint32,9b6d2bb447c605db,1,1,1,true,160.00,w7_r,r8_r,w7_r,r8_r
15,uint32,45273335b120fd64,1,1,1,true,160.00,w3_r,r4_r,w3_r,r4_r
18,uint32,349fa4fb7eac8dc3,1,1,1,true,160.00,w5_r,r6_r,w5_r,r6_r
13,uint32,57b263508d4bcd6a,1,1,1,true,158.89,w9_r,r10_r,w9_r,r10_r
9,uint32,9b536512f6584e1a,1,1,1,true,147.00,ext_0,L0x407ffd04,ext_0,L0x407ffd04
6,uint32,64656f75dd46d6b5,1,1,1,true,144.50,ext_1,L0x407ffd08,ext_1,L0x407ffd08
16,uint32,79d70709cf78c348,1,1,1,true,144.50,ext_3,L0x407ffd10,ext_3,L0x407ffd10
19,uint32,893b4c12929966cc,1,1,1,true,144.50,ext_2,L0x407ffd0c,ext_2,L0x407ffd0c
0,uint32,1468cdeda65d52a5,3,3,9,false,100.00,a0,a0,L0x55555640a8;a0;w3,L0x2204c;a0;r4
1,uint32,e961a6f5536f2517,3,3,9,false,100.00,a1,a1,L0x55555640ac;a1;w4,L0x22050;a1;r5
2,uint32,76aab1d9bebaa022,3,3,9,false,100.00,a3,a3,L0x55555640b4;a3;w6,L0x22058;a3;r7
4,uint32,a5ad86d427a7c688,3,3,9,false,100.00,a4,a4,L0x55555640b8;a4;w7,L0x2205c;a4;r8
5,uint32,7ef1cb679a609764,3,3,9,false,100.00,a5,a5,L0x55555640bc;a5;w8,L0x22060;a5;r9
8,uint32,fc990847f7e9c975,3,3,9,false,100.00,a2,a2,L0x55555640b0;a2;w5,L0x22054;a2;r6
11,uint32,d9224ce2a72b95d4,3,3,9,false,100.00,a6,a6,L0x55555640c0;a6;w9,L0x22064;a6;r10
12,uint32,9d9e7f9043638206,3,3,9,false,100.00,a7,a7,L0x55555640c4;a7;w10,L0x22068;a7;r11
