case,trials,raw_candidate_pairs,filtered_candidate_pairs,raw_signature_groups,filtered_signature_groups,any_const_pairs,both_const_pairs,input_pairs,same_name_pairs,random_input_changed,real_time,exit_status
keccak_ref_cc,1,326,297,110,84,0,0,25,50,false,0.15,0
keccak_ref_cc,10,309,254,108,61,30,30,25,50,true,0.96,0
keccak_ref_cc,100,309,254,108,61,30,30,25,50,true,9.32,0
keccak_ref_cc,1000,309,254,108,61,30,30,25,50,true,79.31,0
sha256_aarch64_armv4,1,243,149,151,85,0,0,93,81,false,0.07,0
sha256_aarch64_armv4,10,228,84,157,20,64,64,79,81,true,0.31,0
sha256_aarch64_armv4,100,228,84,157,20,64,64,79,81,true,2.90,0
sha256_aarch64_armv4,1000,228,84,157,20,64,64,79,81,true,29.65,0
x25519_fe64_add_armv8_x86,1,78,49,14,13,0,0,27,13,false,0.01,0
x25519_fe64_add_armv8_x86,10,78,47,14,12,4,4,27,13,true,0.01,0
x25519_fe64_add_armv8_x86,100,78,47,14,12,4,4,27,13,true,0.05,0
x25519_fe64_add_armv8_x86,1000,78,47,14,12,4,4,27,13,true,0.55,0
x25519_fe64_mul_armv8_x86,1,99,64,20,19,0,0,31,9,false,0.03,0
x25519_fe64_mul_armv8_x86,10,99,57,20,17,11,11,31,9,true,0.10,0
x25519_fe64_mul_armv8_x86,100,99,57,20,17,11,11,31,9,true,0.86,0
x25519_fe64_mul_armv8_x86,1000,99,57,20,17,11,11,31,9,true,7.78,0
x25519_fe64_sqr_armv8_x86,1,76,57,16,15,0,0,15,5,false,0.01,0
x25519_fe64_sqr_armv8_x86,10,75,49,16,13,11,11,15,5,true,0.09,0
x25519_fe64_sqr_armv8_x86,100,75,49,16,13,11,11,15,5,true,0.59,0
x25519_fe64_sqr_armv8_x86,1000,75,49,16,13,11,11,15,5,true,5.46,0
x25519_fe64_sub_armv8_x86,1,75,48,13,13,0,0,27,12,false,0.02,0
x25519_fe64_sub_armv8_x86,10,75,47,13,12,1,1,27,12,true,0.02,0
x25519_fe64_sub_armv8_x86,100,75,47,13,12,1,1,27,12,true,0.08,0
x25519_fe64_sub_armv8_x86,1000,75,47,13,12,1,1,27,12,true,0.45,0
